 1 Barreau:1983ht             0
 2 O'Connell:1987ag           0
 3 Sealock:1989nx             0
 4 Baran:1988tw               0
 5 Bagdasaryan:1988hp         0
 6 Zeller:1973ge              0
 7 Arrington:1995hs           0
 8 Day:1993md                 0
# 9 Arrington:1998psnoCC       0
10 xemc                       1
11 Whitney:1974hr             0
12 YaLIJan05                  0
13 VaheJun07                  1
 0 end
 29 64   5.766  50.000   3.449  0.1680E-02  0.6350E-03 10
 29 64   5.766  50.000   3.425  0.1976E-02  0.6048E-03 10
  29  64  3.1160 74.9728  2.6266  0.4124E+02  0.9135E+00  13
  29  64  3.1160 74.9728  2.6327  0.4323E+02  0.9453E+00  13
  29  64  3.1160 74.9728  2.6389  0.4565E+02  0.9790E+00  13
  29  64  3.1160 74.9728  2.6451  0.4577E+02  0.1106E+01  13
  29  64  3.1160 74.9828  2.4911  0.1782E+02  0.5087E+00  13
  29  64  3.1160 74.9828  2.4973  0.1849E+02  0.4784E+00  13
  29  64  3.1160 74.9828  2.5035  0.2011E+02  0.5001E+00  13
  29  64  3.1160 74.9828  2.5096  0.2095E+02  0.5127E+00  13
  29  64  3.1160 74.9828  2.5158  0.2255E+02  0.5340E+00  13
  29  64  3.1160 74.9828  2.5219  0.2328E+02  0.5478E+00  13
  29  64  3.1160 74.9828  2.5281  0.2364E+02  0.5558E+00  13
  29  64  3.1160 74.9828  2.5343  0.2525E+02  0.5778E+00  13
  29  64  3.1160 74.9828  2.5404  0.2571E+02  0.5841E+00  13
  29  64  3.1160 74.9828  2.5466  0.2647E+02  0.5964E+00  13
  29  64  3.1160 74.9828  2.5527  0.2696E+02  0.6046E+00  13
  29  64  3.1160 74.9828  2.5589  0.2803E+02  0.6198E+00  13
  29  64  3.1160 74.9828  2.5651  0.2987E+02  0.6475E+00  13
  29  64  3.1160 74.9828  2.5712  0.3056E+02  0.6895E+00  13
  29  64  3.1160 74.9828  2.5774  0.3290E+02  0.7970E+00  13
  29  64  3.1160 74.9828  2.3803  0.6759E+01  0.3002E+00  13
