exp   x   Q2   W2   F2d/p    F2d/p_err   F2d/p_f1f217    f2d/p_ineft    F2d_f1f217    F2p_f1f217    F2d_ineft    F2p_ineft
8  0.7795  3.341  1.82544  1.0424  0.0515178  0.853395  0.85138  0.06069  0.03556  0.02992  0.03514
8  0.7875  3.361  1.78729  1.0382  0.0514119  0.856805  0.8465  0.05742  0.03351  0.02844  0.0336
8  0.8115  3.417  1.67408  1.0988  0.0571059  0.846925  0.79262  0.04901  0.02894  0.02435  0.03072
8  0.8195  3.436  1.63716  0.9593  0.0499501  0.81716  0.75697  0.04653  0.02847  0.02307  0.03048
8  0.8275  3.455  1.60058  0.9008  0.0469924  0.76652  0.71092  0.04412  0.02878  0.02182  0.03069
8  0.836  3.474  1.56186  0.8821  0.04619  0.69521  0.65343  0.04164  0.02994  0.02049  0.03135
8  0.8445  3.493  1.52353  0.78  0.0409203  0.623275  0.60027  0.03912  0.03138  0.01907  0.03177
8  0.853  3.512  1.48559  0.7733  0.0409484  0.57732  0.57801  0.03656  0.03166  0.01749  0.03026
8  0.8615  3.531  1.44802  0.7065  0.0376887  0.584425  0.616  0.03398  0.02907  0.01578  0.02562
8  0.87  3.55  1.41081  0.8529  0.0460851  0.669175  0.72029  0.03141  0.02347  0.01406  0.01952
8  0.8875  3.588  1.33517  1.4291  0.124015  1.23175  1.04673  0.02658  0.01079  0.01073  0.01025
8  0.896  3.607  1.29902  1.3388  0.117509  1.86706  1.22732  0.02464  0.0066  0.00916  0.00746
8  0.905  3.626  1.26098  1.8311  0.163084  3.22249  1.45661  0.02302  0.00357  0.00749  0.00514
8  0.914  3.644  1.22323  2.5673  0.232734  6.74428  1.81802  0.02191  0.00162  0.00579  0.00318
8  0.923  3.663  1.18594  4.6535  0.432957  22.7947  2.82303  0.02134  0.00047  0.00404  0.00143
8  0.718  3.625  2.3041  0.7  0.0352814  0.576455  0.58333  0.09001  0.07807  0.0464  0.07954
8  0.742  3.706  2.16896  0.5004  0.0263011  0.625465  0.70977  0.07646  0.06112  0.03933  0.05541
8  0.7505  3.732  2.12104  0.5413  0.0283976  0.70663  0.75358  0.07162  0.05068  0.03521  0.04673
8  0.759  3.759  2.07392  0.576  0.0304443  0.767775  0.79053  0.06688  0.04356  0.03226  0.04081
8  0.836  3.999  1.66485  1.098  0.0622445  0.827325  0.79121  0.03551  0.02146  0.01725  0.0218
8  0.8445  4.026  1.62167  1.0142  0.0584925  0.78846  0.74528  0.03315  0.02102  0.01594  0.02139
8  0.8535  4.053  1.57604  0.9544  0.0555137  0.71812  0.68097  0.03081  0.02145  0.01458  0.02141
8  0.863  4.08  1.52805  0.965  0.0567958  0.63077  0.61207  0.02841  0.02252  0.01316  0.02151
8  0.872  4.106  1.48307  0.8611  0.0521239  0.57874  0.58947  0.02619  0.02263  0.01185  0.02011
8  0.881  4.133  1.43861  0.8513  0.0520345  0.6039  0.65636  0.02402  0.01989  0.01058  0.01612
8  0.89  4.16  1.39451  1.0352  0.0937413  0.75096  0.81133  0.02197  0.01463  0.00933  0.0115
8  0.909  4.213  1.30212  1.3268  0.123972  1.86313  1.25215  0.01837  0.00493  0.00662  0.00529
8  0.9185  4.24  1.25658  1.7338  0.165793  3.62983  1.53626  0.0171  0.00236  0.00521  0.00339
8  0.928  4.267  1.21142  2.381  0.230997  9.61858  2.06806  0.01627  0.00085  0.00374  0.00181
8  0.938  4.294  1.16418  29.5137  2.91323  117.855  6.71886  0.01591  7e-05  0.00211  0.00031
