EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin5                                                                
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 21.607  4.56    1.90    7.30    1.05    0.01    8.37  0.845
   3.067  0.323 10.43    2.05    4.57    1.12    0.01    5.71 6.464E+00

  10.589 21.607  4.55    1.92    7.38    1.07    0.01    8.47  0.845
   3.059  0.322 10.46    2.08    4.68    1.13    0.01    5.82 6.491E+00

  10.589 21.607  4.54    1.94    7.47    1.08    0.02    8.56  0.845
   3.051  0.321 10.49    2.10    4.78    1.15    0.02    5.94 6.518E+00

  10.589 21.607  4.53    1.96    7.55    1.10    0.02    8.66  0.845
   3.043  0.320 10.51    2.12    4.88    1.16    0.02    6.06 6.546E+00

  10.589 21.607  4.52    1.98    7.61    1.11    0.02    8.74  0.845
   3.035  0.319 10.54    2.14    4.96    1.18    0.02    6.16 6.573E+00

  10.589 21.607  4.50    2.00    7.70    1.12    0.02    8.84  0.845
   3.027  0.317 10.57    2.16    5.07    1.19    0.02    6.28 6.600E+00

  10.589 21.607  4.49    2.02    7.80    1.14    0.02    8.95  0.845
   3.019  0.316 10.59    2.19    5.18    1.21    0.02    6.41 6.628E+00

  10.589 21.607  4.48    2.04    7.88    1.15    0.02    9.05  0.845
   3.011  0.315 10.62    2.21    5.28    1.23    0.02    6.53 6.655E+00

  10.589 21.607  4.47    2.07    7.98    1.17    0.02    9.16  0.845
   3.003  0.314 10.65    2.23    5.40    1.24    0.02    6.66 6.682E+00

  10.589 21.607  4.46    2.09    8.07    1.18    0.02    9.27  0.845
   2.995  0.313 10.67    2.26    5.51    1.26    0.02    6.79 6.710E+00

  10.589 21.607  4.44    2.11    8.14    1.20    0.02    9.36  0.845
   2.987  0.312 10.70    2.28    5.60    1.27    0.02    6.90 6.737E+00

  10.589 21.607  4.43    2.13    8.23    1.22    0.02    9.47  0.845
