EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin15                                                               
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 32.035  9.74    0.72   -5.17    0.36    0.00   -4.81  0.909
   3.019  0.685  5.35    0.75  -10.35    0.38    0.00   -9.97 2.059E-01

  10.589 32.035  9.71    0.72   -5.08    0.36    0.00   -4.72  0.903
   3.011  0.683  5.39    0.75  -10.24    0.38    0.00   -9.86 2.104E-01

  10.589 32.035  9.68    0.73   -4.99    0.35    0.00   -4.64  0.898
   3.003  0.680  5.43    0.76  -10.14    0.38    0.00   -9.76 2.149E-01

  10.589 32.035  9.66    0.73   -4.90    0.35    0.00   -4.54  0.893
   2.995  0.678  5.47    0.77  -10.02    0.37    0.00   -9.65 2.195E-01

  10.589 32.035  9.63    0.74   -4.80    0.35    0.00   -4.45  0.889
   2.987  0.675  5.51    0.77   -9.91    0.37    0.00   -9.53 2.242E-01

  10.589 32.035  9.61    0.74   -4.71    0.35    0.00   -4.35  0.885
   2.979  0.673  5.55    0.78   -9.79    0.37    0.00   -9.42 2.289E-01

  10.589 32.035  9.58    0.75   -4.62    0.35    0.00   -4.27  0.881
   2.971  0.670  5.59    0.78   -9.69    0.37    0.00   -9.32 2.337E-01

  10.589 32.035  9.56    0.76   -4.53    0.35    0.00   -4.18  0.877
   2.963  0.668  5.64    0.79   -9.58    0.38    0.00   -9.21 2.385E-01

  10.589 32.035  9.53    0.76   -4.44    0.35    0.00   -4.08  0.873
   2.955  0.665  5.68    0.80   -9.47    0.38    0.00   -9.09 2.434E-01

  10.589 32.115 10.46    0.63   -7.67    0.46    0.00   -7.21  1.147
   3.227  0.757  4.24    0.67  -13.35    0.48    0.00  -12.87 1.061E-01

