EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin9_1st                                                             
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00045; twall=0.00481; tbeam=0.00291; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL
  10.589 26.084  6.49    1.09    1.61    0.49    0.00    2.09  0.811
   3.011  0.457  8.61    1.15   -2.15    0.51    0.00   -1.63 1.572E+00

  10.589 26.084  6.48    1.10    1.69    0.49    0.00    2.18  0.812
   3.003  0.455  8.64    1.17   -2.05    0.52    0.00   -1.52 1.586E+00

  10.589 26.084  6.46    1.11    1.77    0.50    0.00    2.27  0.810
   2.995  0.453  8.67    1.18   -1.95    0.53    0.00   -1.42 1.600E+00

  10.589 26.084  6.44    1.12    1.86    0.50    0.00    2.36  0.813
   2.987  0.452  8.70    1.19   -1.85    0.53    0.00   -1.31 1.614E+00

  10.589 26.084  6.43    1.13    1.94    0.51    0.00    2.45  0.814
   2.979  0.450  8.74    1.20   -1.75    0.54    0.00   -1.21 1.629E+00

  10.589 26.084  6.41    1.14    2.02    0.52    0.00    2.53  0.814
   2.971  0.448  8.77    1.21   -1.65    0.55    0.00   -1.10 1.643E+00

  10.589 26.084  6.39    1.16    2.09    0.52    0.00    2.62  0.815
   2.963  0.447  8.80    1.22   -1.56    0.56    0.00   -1.00 1.658E+00

  10.589 26.084  6.37    1.17    2.19    0.53    0.00    2.72  0.816
   2.955  0.445  8.83    1.23   -1.45    0.56    0.00   -0.88 1.672E+00

  10.589 26.164  7.00    0.86   -0.62    0.35    0.00   -0.27  0.796
   3.227  0.507  7.69    0.90   -4.86    0.37    0.00   -4.49 1.178E+00

  10.589 26.164  6.99    0.86   -0.54    0.36    0.00   -0.18  0.796
   3.219  0.505  7.73    0.91   -4.77    0.38    0.00   -4.39 1.190E+00

  10.589 26.164  6.97    0.87   -0.47    0.36    0.00   -0.11  0.797
   3.211  0.503  7.76    0.91   -4.67    0.38    0.00   -4.29 1.203E+00

  10.589 26.164  6.95    0.88   -0.39    0.36    0.00   -0.02  0.797
   3.203  0.501  7.79    0.92   -4.58    0.39    0.00   -4.19 1.215E+00

  10.589 26.164  6.93    0.88   -0.31    0.37    0.00    0.06  0.797
   3.195  0.500  7.82    0.93   -4.48    0.39    0.00   -4.09 1.228E+00

  10.589 26.164  6.92    0.89   -0.23    0.37    0.00    0.14  0.798
   3.187  0.498  7.85    0.94   -4.39    0.39    0.00   -3.99 1.241E+00

  10.589 26.164  6.90    0.90   -0.15    0.38    0.00    0.22  0.798
   3.179  0.496  7.89    0.95   -4.29    0.40    0.00   -3.89 1.253E+00

  10.589 26.164  6.88    0.91   -0.07    0.38    0.00    0.31  0.799
   3.171  0.494  7.92    0.95   -4.19    0.40    0.00   -3.79 1.266E+00

  10.589 26.164  6.86    0.92    0.01    0.38    0.00    0.40  0.799
   3.163  0.493  7.95    0.96   -4.09    0.41    0.00   -3.69 1.279E+00

  10.589 26.164  6.85    0.92    0.08    0.39    0.00    0.47  0.800
   3.155  0.491  7.98    0.97   -4.01    0.41    0.00   -3.59 1.292E+00

  10.589 26.164  6.83    0.93    0.16    0.39    0.00    0.55  0.800
   3.147  0.489  8.02    0.98   -3.91    0.42    0.00   -3.49 1.304E+00

  10.589 26.164  6.81    0.94    0.24    0.40    0.00    0.63  0.801
   3.139  0.487  8.05    0.99   -3.82    0.42    0.00   -3.40 1.317E+00

  10.589 26.164  6.79    0.95    0.31    0.40    0.00    0.71  0.801
   3.131  0.485  8.08    1.00   -3.72    0.42    0.00   -3.30 1.330E+00

  10.589 26.164  6.78    0.96    0.37    0.41    0.00    0.77  0.802
   3.123  0.484  8.11    1.01   -3.65    0.43    0.00   -3.22 1.343E+00

  10.589 26.164  6.76    0.96    0.47    0.41    0.00    0.88  0.802
   3.115  0.482  8.15    1.02   -3.53    0.43    0.00   -3.10 1.357E+00

  10.589 26.164  6.74    0.97    0.55    0.42    0.00    0.96  0.803
   3.107  0.480  8.18    1.03   -3.44    0.44    0.00   -3.00 1.370E+00

  10.589 26.164  6.72    0.98    0.63    0.42    0.00    1.05  0.803
   3.099  0.478  8.21    1.03   -3.34    0.44    0.00   -2.90 1.383E+00

  10.589 26.164  6.71    0.99    0.71    0.42    0.00    1.13  0.804
   3.091  0.477  8.24    1.04   -3.24    0.45    0.00   -2.79 1.396E+00

  10.589 26.164  6.69    1.00    0.80    0.43    0.00    1.23  0.804
   3.083  0.475  8.28    1.05   -3.13    0.46    0.00   -2.67 1.410E+00

  10.589 26.164  6.67    1.01    0.86    0.44    0.00    1.30  0.805
   3.075  0.473  8.31    1.06   -3.05    0.46    0.00   -2.59 1.423E+00

  10.589 26.164  6.66    1.02    0.94    0.44    0.00    1.39  0.807
   3.067  0.472  8.34    1.07   -2.95    0.47    0.00   -2.48 1.437E+00

  10.589 26.164  6.64    1.03    1.03    0.45    0.00    1.47  0.806
   3.059  0.470  8.37    1.08   -2.85    0.47    0.00   -2.38 1.450E+00

  10.589 26.164  6.62    1.04    1.10    0.45    0.00    1.55  0.807
   3.051  0.468  8.41    1.09   -2.76    0.48    0.00   -2.28 1.464E+00

  10.589 26.164  6.60    1.05    1.18    0.46    0.00    1.64  0.807
   3.043  0.466  8.44    1.10   -2.66    0.48    0.00   -2.18 1.477E+00

  10.589 26.164  6.59    1.06    1.27    0.46    0.00    1.73  0.808
   3.035  0.465  8.47    1.11   -2.56    0.49    0.00   -2.07 1.491E+00

  10.589 26.164  6.57    1.07    1.35    0.47    0.00    1.82  0.809
   3.027  0.463  8.50    1.12   -2.46    0.50    0.00   -1.96 1.505E+00

  10.589 26.164  6.55    1.08    1.43    0.47    0.00    1.91  0.810
   3.019  0.461  8.53    1.14   -2.36    0.50    0.00   -1.86 1.519E+00

  10.589 26.164  6.53    1.09    1.51    0.48    0.00    1.99  0.810
   3.011  0.459  8.57    1.15   -2.26    0.51    0.00   -1.75 1.533E+00

  10.589 26.164  6.52    1.10    1.59    0.49    0.00    2.08  0.811
   3.003  0.458  8.60    1.16   -2.16    0.51    0.00   -1.65 1.547E+00

  10.589 26.164  6.50    1.11    1.67    0.49    0.00    2.17  0.812
   2.995  0.456  8.63    1.17   -2.07    0.52    0.00   -1.54 1.561E+00

  10.589 26.164  6.48    1.12    1.76    0.50    0.00    2.26  0.812
   2.987  0.454  8.66    1.18   -1.96    0.53    0.00   -1.43 1.575E+00

  10.589 26.164  6.46    1.13    1.84    0.50    0.00    2.35  0.813
   2.979  0.453  8.70    1.19   -1.86    0.53    0.00   -1.33 1.589E+00

  10.589 26.164  6.45    1.14    1.92    0.51    0.00    2.43  0.813
   2.971  0.451  8.73    1.20   -1.76    0.54    0.00   -1.22 1.603E+00

  10.589 26.164  6.43    1.14    2.00    0.52    0.00    2.52  0.814
   2.963  0.449  8.76    1.21   -1.66    0.55    0.00   -1.11 1.617E+00

  10.589 26.164  6.41    1.16    2.08    0.52    0.00    2.61  0.815
   2.955  0.448  8.79    1.23   -1.57    0.56    0.00   -1.01 1.632E+00

  10.589 26.244  7.04    0.85   -0.72    0.35    0.00   -0.37  0.795
