EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
D2_kin5                                                                 
                                                                        
Hall A 2018: 25 cm Deuterium target                                     
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  2);   avgA =   2.000; amuM=  2.013; avgM=  1.875
 targ=TRITIUM; ttarg(rl)=0.00114; twall=0.00445; tbeam=0.00298; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

 Deut Elastic Model: ia,iamec,rsc,rscmec (1,2,3,4)=  3
 TJON DEUT ELASTIC FILESS TO BE OPEN=rscctj.tjon_input   rscqtj.tjon_input   rscmtj.tjon_input   
   3.195  0.343 10.00    1.64    3.25    0.99    0.01    4.24 3.730E+00

  10.589 21.607  4.74    1.53    6.02    0.93    0.01    6.96  0.960
   3.187  0.341 10.03    1.65    3.34    1.00    0.01    4.36 3.747E+00

  10.589 21.607  4.73    1.54    6.10    0.94    0.01    7.05  0.960
   3.179  0.340 10.06    1.67    3.44    1.01    0.01    4.47 3.764E+00

  10.589 21.607  4.72    1.56    6.18    0.95    0.01    7.14  0.960
   3.171  0.339 10.08    1.69    3.55    1.03    0.01    4.58 3.781E+00

  10.589 21.607  4.71    1.57    6.26    0.96    0.01    7.23  0.959
   3.163  0.338 10.11    1.70    3.64    1.04    0.01    4.69 3.798E+00

  10.589 21.607  4.69    1.59    6.34    0.98    0.01    7.33  0.961
   3.155  0.337 10.14    1.72    3.74    1.05    0.01    4.80 3.815E+00

  10.589 21.607  4.68    1.60    6.42    0.99    0.01    7.42  0.962
   3.147  0.335 10.16    1.74    3.84    1.07    0.01    4.92 3.832E+00

  10.589 21.607  4.67    1.62    6.50    1.00    0.01    7.51  0.961
   3.139  0.334 10.19    1.75    3.94    1.08    0.01    5.03 3.849E+00

  10.589 21.607  4.66    1.63    6.58    1.02    0.01    7.61  0.962
   3.131  0.333 10.22    1.77    4.04    1.09    0.01    5.14 3.866E+00

  10.589 21.607  4.65    1.65    6.66    1.03    0.01    7.70  0.962
   3.123  0.332 10.24    1.79    4.14    1.11    0.01    5.26 3.883E+00

  10.589 21.607  4.64    1.66    6.74    1.04    0.01    7.79  0.962
   3.115  0.330 10.27    1.81    4.23    1.12    0.01    5.36 3.900E+00

  10.589 21.607  4.62    1.68    6.82    1.05    0.01    7.89  0.962
   3.107  0.329 10.30    1.83    4.33    1.14    0.01    5.48 3.917E+00

  10.589 21.607  4.61    1.70    6.91    1.07    0.01    7.99  0.962
   3.099  0.328 10.32    1.84    4.43    1.15    0.01    5.60 3.934E+00

  10.589 21.607  4.60    1.71    6.99    1.08    0.01    8.08  0.964
   3.091  0.327 10.35    1.86    4.53    1.17    0.01    5.71 3.952E+00

  10.589 21.607  4.59    1.73    7.07    1.10    0.01    8.18  0.963
   3.083  0.326 10.38    1.88    4.63    1.18    0.01    5.82 3.969E+00

  10.589 21.607  4.58    1.75    7.15    1.11    0.01    8.27  0.963
   3.075  0.325 10.40    1.90    4.73    1.20    0.01    5.94 3.986E+00

  10.589 21.607  4.56    1.76    7.23    1.12    0.01    8.37  0.963
   3.067  0.323 10.43    1.92    4.83    1.21    0.01    6.06 4.003E+00

  10.589 21.607  4.55    1.78    7.31    1.14    0.01    8.46  0.964
   3.059  0.322 10.46    1.94    4.93    1.23    0.01    6.17 4.020E+00

  10.589 21.607  4.54    1.80    7.39    1.15    0.01    8.56  0.964
   3.051  0.321 10.49    1.96    5.03    1.24    0.01    6.29 4.038E+00

  10.589 21.607  4.53    1.82    7.48    1.17    0.01    8.66  0.963
   3.043  0.320 10.51    1.98    5.14    1.26    0.01    6.41 4.055E+00

  10.589 21.607  4.52    1.83    7.56    1.19    0.01    8.76  0.965
   3.035  0.319 10.54    2.00    5.24    1.28    0.01    6.53 4.072E+00

  10.589 21.607  4.50    1.85    7.64    1.20    0.01    8.86  0.966
   3.027  0.317 10.57    2.02    5.34    1.29    0.01    6.65 4.089E+00

  10.589 21.607  4.49    1.87    7.73    1.22    0.01    8.96  0.965
   3.019  0.316 10.59    2.04    5.44    1.31    0.02    6.77 4.107E+00

  10.589 21.607  4.48    1.89    7.81    1.23    0.02    9.06  0.965
   3.011  0.315 10.62    2.06    5.55    1.33    0.02    6.89 4.124E+00

  10.589 21.607  4.47    1.91    7.90    1.25    0.02    9.16  0.965
   3.003  0.314 10.65    2.08    5.65    1.34    0.02    7.01 4.141E+00

  10.589 21.607  4.46    1.93    7.99    1.26    0.02    9.27  0.965
   2.995  0.313 10.67    2.11    5.76    1.36    0.02    7.13 4.159E+00

  10.589 21.607  4.44    1.95    8.07    1.28    0.02    9.36  0.964
   2.987  0.312 10.70    2.13    5.86    1.38    0.02    7.25 4.176E+00

  10.589 21.607  4.43    1.97    8.16    1.30    0.02    9.47  0.966
   2.979  0.310 10.73    2.15    5.96    1.40    0.02    7.38 4.194E+00

  10.589 21.607  4.42    1.99    8.24    1.32    0.02    9.58  0.966
   2.971  0.309 10.75    2.17    6.07    1.42    0.02    7.50 4.211E+00

  10.589 21.607  4.41    2.01    8.33    1.33    0.02    9.68  0.965
   2.963  0.308 10.78    2.20    6.18    1.44    0.02    7.63 4.229E+00

  10.589 21.607  4.40    2.03    8.42    1.35    0.02    9.78  0.966
   2.955  0.307 10.81    2.22    6.28    1.46    0.02    7.75 4.246E+00

  10.589 21.687  4.84    1.44    5.53    0.86    0.01    6.40  0.958
   3.227  0.350  9.86    1.56    2.74    0.93    0.01    3.67 3.580E+00

  10.589 21.687  4.83    1.45    5.61    0.87    0.01    6.48  0.958
   3.219  0.349  9.89    1.57    2.84    0.94    0.01    3.78 3.597E+00

  10.589 21.687  4.81    1.47    5.67    0.88    0.01    6.56  0.959
   3.211  0.348  9.91    1.59    2.92    0.95    0.01    3.88 3.614E+00

  10.589 21.687  4.80    1.48    5.75    0.89    0.01    6.65  0.959
   3.203  0.346  9.94    1.60    3.02    0.96    0.01    3.99 3.630E+00

  10.589 21.687  4.79    1.50    5.83    0.90    0.01    6.74  0.960
   3.195  0.345  9.97    1.62    3.11    0.97    0.01    4.10 3.647E+00

  10.589 21.687  4.78    1.51    5.90    0.92    0.01    6.83  0.959
   3.187  0.344  9.99    1.64    3.21    0.99    0.01    4.20 3.664E+00

  10.589 21.687  4.77    1.52    5.99    0.93    0.01    6.92  0.959
   3.179  0.343 10.02    1.65    3.31    1.00    0.01    4.32 3.681E+00

  10.589 21.687  4.75    1.54    6.07    0.94    0.01    7.02  0.960
   3.171  0.341 10.05    1.67    3.41    1.01    0.01    4.43 3.698E+00

  10.589 21.687  4.74    1.55    6.15    0.95    0.01    7.11  0.960
   3.163  0.340 10.07    1.68    3.51    1.02    0.01    4.54 3.715E+00

  10.589 21.687  4.73    1.57    6.23    0.96    0.01    7.20  0.960
   3.155  0.339 10.10    1.70    3.61    1.04    0.01    4.65 3.732E+00

  10.589 21.687  4.72    1.58    6.31    0.97    0.01    7.30  0.961
   3.147  0.338 10.13    1.72    3.70    1.05    0.01    4.76 3.748E+00

  10.589 21.687  4.71    1.60    6.39    0.99    0.01    7.39  0.962
   3.139  0.337 10.16    1.74    3.80    1.06    0.01    4.88 3.765E+00

  10.589 21.687  4.69    1.62    6.47    1.00    0.01    7.48  0.961
   3.131  0.335 10.18    1.75    3.90    1.08    0.01    4.99 3.782E+00

  10.589 21.687  4.68    1.63    6.55    1.01    0.01    7.58  0.961
