EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin5                                                                 
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00045; twall=0.00481; tbeam=0.00291; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 21.607  4.42    1.80    7.68    1.08    0.02    8.79  0.867
   2.971  0.309 10.75    1.94    5.15    1.15    0.02    6.32 5.840E+00

  10.589 21.607  4.41    1.81    7.76    1.10    0.02    8.88  0.867
   2.963  0.308 10.78    1.96    5.24    1.16    0.02    6.43 5.866E+00

  10.589 21.607  4.40    1.83    7.84    1.11    0.02    8.97  0.867
   2.955  0.307 10.81    1.98    5.34    1.18    0.02    6.55 5.892E+00

  10.589 21.687  4.84    1.33    5.03    0.72    0.01    5.75  0.855
   3.227  0.350  9.86    1.42    1.92    0.76    0.01    2.69 4.915E+00

  10.589 21.687  4.83    1.34    5.11    0.72    0.01    5.84  0.856
   3.219  0.349  9.89    1.43    2.01    0.77    0.01    2.79 4.939E+00

  10.589 21.687  4.81    1.35    5.18    0.73    0.01    5.93  0.856
   3.211  0.348  9.91    1.45    2.11    0.78    0.01    2.89 4.964E+00

  10.589 21.687  4.80    1.36    5.26    0.74    0.01    6.01  0.856
   3.203  0.346  9.94    1.46    2.20    0.79    0.01    2.99 4.988E+00

  10.589 21.687  4.79    1.37    5.34    0.75    0.01    6.10  0.857
   3.195  0.345  9.97    1.47    2.30    0.80    0.01    3.10 5.013E+00

  10.589 21.687  4.78    1.39    5.41    0.76    0.01    6.19  0.857
   3.187  0.344  9.99    1.49    2.39    0.81    0.01    3.21 5.038E+00

  10.589 21.687  4.77    1.40    5.49    0.77    0.01    6.27  0.858
   3.179  0.343 10.02    1.50    2.48    0.82    0.01    3.31 5.062E+00

  10.589 21.687  4.75    1.41    5.56    0.78    0.01    6.36  0.858
   3.171  0.341 10.05    1.52    2.57    0.83    0.01    3.41 5.087E+00

  10.589 21.687  4.74    1.42    5.64    0.79    0.01    6.44  0.858
   3.163  0.340 10.07    1.53    2.66    0.84    0.01    3.51 5.112E+00

  10.589 21.687  4.73    1.44    5.72    0.80    0.01    6.53  0.859
   3.155  0.339 10.10    1.54    2.76    0.85    0.01    3.62 5.137E+00

  10.589 21.687  4.72    1.45    5.79    0.81    0.01    6.62  0.859
   3.147  0.338 10.13    1.56    2.86    0.86    0.01    3.73 5.161E+00

  10.589 21.687  4.71    1.46    5.87    0.82    0.01    6.71  0.860
   3.139  0.337 10.16    1.57    2.95    0.87    0.01    3.83 5.186E+00

  10.589 21.687  4.69    1.48    5.95    0.83    0.01    6.79  0.860
   3.131  0.335 10.18    1.59    3.05    0.88    0.01    3.94 5.211E+00

  10.589 21.687  4.68    1.49    6.03    0.84    0.01    6.88  0.860
   3.123  0.334 10.21    1.60    3.14    0.89    0.01    4.05 5.236E+00

  10.589 21.687  4.67    1.50    6.11    0.85    0.01    6.97  0.861
   3.115  0.333 10.24    1.62    3.24    0.90    0.01    4.15 5.261E+00

  10.589 21.687  4.66    1.52    6.20    0.86    0.01    7.07  0.861
   3.107  0.332 10.26    1.63    3.34    0.91    0.01    4.27 5.286E+00

  10.589 21.687  4.65    1.53    6.27    0.87    0.01    7.16  0.861
   3.099  0.331 10.29    1.65    3.44    0.92    0.01    4.38 5.311E+00

  10.589 21.687  4.63    1.55    6.35    0.88    0.01    7.25  0.862
   3.091  0.329 10.32    1.67    3.53    0.94    0.01    4.48 5.336E+00

  10.589 21.687  4.62    1.56    6.43    0.89    0.02    7.34  0.862
   3.083  0.328 10.34    1.68    3.63    0.95    0.02    4.59 5.361E+00

  10.589 21.687  4.61    1.57    6.52    0.91    0.02    7.44  0.863
   3.075  0.327 10.37    1.70    3.74    0.96    0.02    4.71 5.387E+00

  10.589 21.687  4.60    1.59    6.60    0.92    0.02    7.53  0.863
   3.067  0.326 10.40    1.71    3.83    0.97    0.02    4.82 5.412E+00

  10.589 21.687  4.59    1.60    6.68    0.93    0.02    7.62  0.863
   3.059  0.325 10.43    1.73    3.93    0.98    0.02    4.93 5.437E+00

  10.589 21.687  4.57    1.62    6.76    0.94    0.02    7.71  0.864
   3.051  0.323 10.45    1.75    4.03    1.00    0.02    5.04 5.462E+00

  10.589 21.687  4.56    1.63    6.83    0.95    0.02    7.80  0.864
   3.043  0.322 10.48    1.76    4.12    1.01    0.02    5.15 5.488E+00

  10.589 21.687  4.55    1.65    6.91    0.96    0.02    7.90  0.864
   3.035  0.321 10.51    1.78    4.22    1.02    0.02    5.26 5.513E+00

  10.589 21.687  4.54    1.67    6.98    0.98    0.02    7.97  0.864
   3.027  0.320 10.53    1.80    4.30    1.04    0.02    5.35 5.538E+00

  10.589 21.687  4.53    1.68    7.06    0.99    0.02    8.06  0.865
   3.019  0.319 10.56    1.82    4.40    1.05    0.02    5.47 5.564E+00

  10.589 21.687  4.51    1.70    7.15    1.00    0.02    8.17  0.865
   3.011  0.317 10.59    1.83    4.51    1.06    0.02    5.59 5.589E+00

  10.589 21.687  4.50    1.71    7.23    1.01    0.02    8.26  0.865
   3.003  0.316 10.61    1.85    4.60    1.08    0.02    5.70 5.615E+00

  10.589 21.687  4.49    1.73    7.31    1.03    0.02    8.36  0.866
   2.995  0.315 10.64    1.87    4.70    1.09    0.02    5.81 5.640E+00

  10.589 21.687  4.48    1.75    7.41    1.04    0.02    8.47  0.866
   2.987  0.314 10.67    1.89    4.82    1.10    0.02    5.94 5.666E+00

  10.589 21.687  4.47    1.76    7.48    1.05    0.02    8.56  0.866
   2.979  0.313 10.70    1.91    4.91    1.12    0.02    6.05 5.691E+00

  10.589 21.687  4.45    1.78    7.57    1.07    0.02    8.66  0.866
   2.971  0.312 10.72    1.93    5.02    1.13    0.02    6.17 5.717E+00

  10.589 21.687  4.44    1.80    7.65    1.08    0.02    8.76  0.867
   2.963  0.310 10.75    1.95    5.12    1.15    0.02    6.29 5.743E+00

  10.589 21.687  4.43    1.81    7.74    1.10    0.02    8.86  0.867
   2.955  0.309 10.78    1.97    5.22    1.16    0.02    6.40 5.768E+00

  10.589 21.767  4.87    1.31    4.92    0.71    0.01    5.64  0.854
