EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin7_2nd                                                            
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL
   3.003  0.386  9.62    1.64    1.48    0.81    0.00    2.29 3.532E+00

  10.589 23.991  5.48    1.55    4.82    0.77    0.00    5.60  0.837
   2.995  0.385  9.65    1.66    1.58    0.82    0.00    2.40 3.553E+00

  10.589 23.991  5.46    1.57    4.91    0.78    0.00    5.70  0.837
   2.987  0.383  9.68    1.67    1.68    0.83    0.00    2.52 3.574E+00

  10.589 23.991  5.45    1.58    4.99    0.79    0.00    5.79  0.837
   2.979  0.382  9.71    1.69    1.79    0.84    0.00    2.63 3.596E+00

  10.589 23.991  5.44    1.60    5.08    0.81    0.00    5.89  0.838
   2.971  0.380  9.74    1.71    1.89    0.85    0.00    2.75 3.618E+00

  10.589 23.991  5.42    1.61    5.16    0.82    0.00    5.98  0.838
   2.963  0.379  9.77    1.73    1.99    0.87    0.00    2.86 3.639E+00

  10.589 23.991  5.41    1.63    5.25    0.83    0.01    6.08  0.838
   2.955  0.377  9.80    1.75    2.10    0.88    0.01    2.98 3.661E+00

  10.589 24.071  5.94    1.15    2.37    0.53    0.00    2.90  0.832
   3.227  0.430  8.75    1.22   -1.43    0.56    0.00   -0.87 2.875E+00

  10.589 24.071  5.93    1.16    2.45    0.53    0.00    2.98  0.833
   3.219  0.429  8.78    1.23   -1.34    0.57    0.00   -0.77 2.895E+00

  10.589 24.071  5.91    1.18    2.53    0.54    0.00    3.08  0.833
   3.211  0.427  8.81    1.25   -1.23    0.57    0.00   -0.66 2.915E+00

  10.589 24.071  5.90    1.19    2.61    0.55    0.00    3.16  0.833
   3.203  0.426  8.84    1.26   -1.13    0.58    0.00   -0.55 2.935E+00

  10.589 24.071  5.88    1.20    2.68    0.55    0.00    3.24  0.833
   3.195  0.424  8.87    1.27   -1.05    0.59    0.00   -0.46 2.955E+00

  10.589 24.071  5.87    1.21    2.77    0.56    0.00    3.33  0.833
   3.187  0.423  8.90    1.28   -0.95    0.60    0.00   -0.35 2.976E+00

  10.589 24.071  5.85    1.22    2.84    0.57    0.00    3.41  0.833
   3.179  0.421  8.93    1.30   -0.85    0.60    0.00   -0.25 2.996E+00

  10.589 24.071  5.84    1.23    2.92    0.57    0.00    3.50  0.833
   3.171  0.420  8.96    1.31   -0.76    0.61    0.00   -0.14 3.016E+00

  10.589 24.071  5.83    1.25    3.00    0.58    0.00    3.58  0.834
   3.163  0.418  8.99    1.32   -0.66    0.62    0.00   -0.04 3.037E+00

  10.589 24.071  5.81    1.26    3.08    0.59    0.00    3.67  0.834
   3.155  0.416  9.02    1.34   -0.56    0.62    0.00    0.07 3.057E+00

  10.589 24.071  5.80    1.27    3.15    0.60    0.00    3.75  0.834
   3.147  0.415  9.05    1.35   -0.47    0.63    0.00    0.17 3.078E+00

  10.589 24.071  5.78    1.28    3.23    0.60    0.00    3.84  0.834
   3.139  0.413  9.08    1.36   -0.37    0.64    0.00    0.27 3.098E+00

  10.589 24.071  5.77    1.30    3.31    0.61    0.00    3.93  0.834
   3.131  0.412  9.11    1.38   -0.27    0.65    0.00    0.38 3.119E+00

  10.589 24.071  5.75    1.31    3.39    0.62    0.00    4.01  0.834
   3.123  0.411  9.14    1.39   -0.17    0.66    0.00    0.49 3.140E+00

  10.589 24.071  5.74    1.32    3.48    0.63    0.00    4.11  0.835
   3.115  0.409  9.17    1.40   -0.07    0.67    0.00    0.60 3.160E+00

  10.589 24.071  5.72    1.33    3.56    0.64    0.00    4.20  0.835
   3.107  0.408  9.20    1.42    0.03    0.67    0.00    0.71 3.181E+00

  10.589 24.071  5.71    1.35    3.66    0.64    0.00    4.30  0.835
   3.099  0.406  9.23    1.43    0.15    0.68    0.00    0.83 3.202E+00

  10.589 24.071  5.69    1.36    3.74    0.65    0.00    4.39  0.835
   3.091  0.405  9.26    1.45    0.24    0.69    0.00    0.94 3.223E+00

  10.589 24.071  5.68    1.37    3.80    0.66    0.00    4.46  0.835
   3.083  0.403  9.29    1.46    0.33    0.70    0.00    1.03 3.243E+00

  10.589 24.071  5.66    1.39    3.88    0.67    0.00    4.56  0.835
   3.075  0.402  9.32    1.48    0.43    0.71    0.00    1.14 3.264E+00

  10.589 24.071  5.65    1.40    3.97    0.68    0.00    4.65  0.836
   3.067  0.400  9.35    1.49    0.53    0.72    0.00    1.25 3.285E+00

