EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin13_2nd                                                           
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL
   2.971  0.595  6.67    0.90   -7.06    0.38    0.00   -6.67 5.117E-01

  10.589 30.132  8.48    0.87   -2.30    0.37    0.00   -1.94  0.825
   2.963  0.593  6.71    0.91   -6.94    0.39    0.00   -6.56 5.196E-01

  10.589 30.132  8.46    0.88   -2.21    0.37    0.00   -1.85  0.824
   2.955  0.590  6.75    0.92   -6.84    0.39    0.00   -6.45 5.276E-01

  10.589 30.212  9.28    0.66   -5.23    0.33    0.00   -4.91  0.914
   3.227  0.672  5.41    0.69  -10.51    0.35    0.00  -10.17 2.847E-01

  10.589 30.212  9.26    0.66   -5.16    0.33    0.00   -4.83  0.908
   3.219  0.670  5.45    0.69  -10.42    0.34    0.00  -10.08 2.903E-01

  10.589 30.212  9.24    0.67   -5.07    0.33    0.00   -4.75  0.903
   3.211  0.667  5.49    0.70  -10.31    0.34    0.00   -9.97 2.959E-01

  10.589 30.212  9.21    0.67   -4.98    0.32    0.00   -4.65  0.899
   3.203  0.665  5.53    0.70  -10.20    0.34    0.00   -9.86 3.016E-01

  10.589 30.212  9.19    0.68   -4.89    0.32    0.00   -4.57  0.895
   3.195  0.662  5.56    0.71  -10.10    0.34    0.00   -9.76 3.073E-01

  10.589 30.212  9.17    0.68   -4.81    0.32    0.00   -4.48  0.891
   3.187  0.660  5.60    0.71  -10.00    0.34    0.00   -9.65 3.131E-01

  10.589 30.212  9.15    0.69   -4.73    0.32    0.00   -4.40  0.887
   3.179  0.658  5.64    0.72   -9.90    0.34    0.00   -9.55 3.190E-01

  10.589 30.212  9.12    0.69   -4.64    0.32    0.00   -4.32  0.883
   3.171  0.655  5.68    0.72   -9.79    0.34    0.00   -9.45 3.250E-01

  10.589 30.212  9.10    0.70   -4.56    0.32    0.00   -4.23  0.880
   3.163  0.653  5.72    0.73   -9.69    0.34    0.00   -9.34 3.310E-01

  10.589 30.212  9.08    0.70   -4.47    0.32    0.00   -4.14  0.877
   3.155  0.651  5.75    0.73   -9.58    0.34    0.00   -9.24 3.371E-01

  10.589 30.212  9.05    0.71   -4.38    0.33    0.00   -4.06  0.873
   3.147  0.648  5.79    0.74   -9.48    0.34    0.00   -9.13 3.433E-01

  10.589 30.212  9.03    0.71   -4.29    0.33    0.00   -3.97  0.870
   3.139  0.646  5.83    0.75   -9.37    0.35    0.00   -9.02 3.495E-01

  10.589 30.212  9.01    0.72   -4.21    0.33    0.00   -3.88  0.867
   3.131  0.644  5.87    0.75   -9.27    0.35    0.00   -8.92 3.558E-01

  10.589 30.212  8.98    0.72   -4.13    0.33    0.00   -3.80  0.864
   3.123  0.641  5.91    0.76   -9.16    0.35    0.00   -8.82 3.621E-01

  10.589 30.212  8.96    0.73   -4.04    0.33    0.00   -3.71  0.862
   3.115  0.639  5.94    0.76   -9.06    0.35    0.00   -8.71 3.686E-01

  10.589 30.212  8.94    0.74   -3.96    0.33    0.00   -3.63  0.859
   3.107  0.637  5.98    0.77   -8.96    0.35    0.00   -8.61 3.751E-01

  10.589 30.212  8.91    0.74   -3.87    0.33    0.00   -3.54  0.856
   3.099  0.634  6.02    0.78   -8.85    0.35    0.00   -8.50 3.816E-01

  10.589 30.212  8.89    0.75   -3.78    0.33    0.00   -3.45  0.854
   3.091  0.632  6.06    0.78   -8.74    0.35    0.00   -8.39 3.883E-01

  10.589 30.212  8.87    0.76   -3.70    0.33    0.00   -3.36  0.851
   3.083  0.630  6.10    0.79   -8.64    0.35    0.00   -8.29 3.950E-01

  10.589 30.212  8.85    0.76   -3.61    0.33    0.00   -3.28  0.849
   3.075  0.627  6.13    0.79   -8.54    0.35    0.00   -8.18 4.018E-01

  10.589 30.212  8.82    0.77   -3.49    0.33    0.00   -3.15  0.847
   3.067  0.625  6.17    0.80   -8.40    0.36    0.00   -8.04 4.086E-01

  10.589 30.212  8.80    0.77   -3.44    0.34    0.00   -3.10  0.845
   3.059  0.623  6.21    0.81   -8.33    0.36    0.00   -7.97 4.155E-01

  10.589 30.212  8.78    0.78   -3.35    0.34    0.00   -3.02  0.843
   3.051  0.620  6.25    0.82   -8.22    0.36    0.00   -7.86 4.225E-01

  10.589 30.212  8.75    0.79   -3.27    0.34    0.00   -2.93  0.841
   3.043  0.618  6.29    0.82   -8.12    0.36    0.00   -7.76 4.296E-01

  10.589 30.212  8.73    0.80   -3.18    0.34    0.00   -2.84  0.839
   3.035  0.616  6.33    0.83   -8.01    0.36    0.00   -7.65 4.367E-01

  10.589 30.212  8.71    0.80   -3.09    0.34    0.00   -2.75  0.838
   3.027  0.614  6.36    0.84   -7.91    0.36    0.00   -7.54 4.439E-01

  10.589 30.212  8.68    0.81   -3.01    0.35    0.00   -2.66  0.836
   3.019  0.611  6.40    0.85   -7.80    0.37    0.00   -7.44 4.512E-01

  10.589 30.212  8.66    0.82   -2.91    0.35    0.00   -2.57  0.834
   3.011  0.609  6.44    0.85   -7.69    0.37    0.00   -7.32 4.585E-01

  10.589 30.212  8.64    0.82   -2.84    0.35    0.00   -2.49  0.833
   3.003  0.607  6.48    0.86   -7.59    0.37    0.00   -7.22 4.659E-01

  10.589 30.212  8.62    0.83   -2.75    0.35    0.00   -2.39  0.831
   2.995  0.605  6.52    0.87   -7.48    0.37    0.00   -7.11 4.734E-01

  10.589 30.212  8.59    0.84   -2.65    0.36    0.00   -2.29  0.830
   2.987  0.602  6.55    0.88   -7.37    0.38    0.00   -6.99 4.809E-01

  10.589 30.212  8.57    0.85   -2.56    0.36    0.00   -2.20  0.829
   2.979  0.600  6.59    0.89   -7.26    0.38    0.00   -6.88 4.886E-01

  10.589 30.212  8.55    0.86   -2.49    0.36    0.00   -2.13  0.825
   2.971  0.598  6.63    0.90   -7.16    0.38    0.00   -6.78 4.962E-01

  10.589 30.212  8.52    0.86   -2.40    0.36    0.00   -2.04  0.823
   2.963  0.596  6.67    0.90   -7.06    0.38    0.00   -6.68 5.040E-01

  10.589 30.212  8.50    0.87   -2.31    0.37    0.00   -1.94  0.825
   2.955  0.593  6.71    0.91   -6.95    0.39    0.00   -6.56 5.118E-01

  10.589 30.292  9.33    0.66   -5.33    0.33    0.00   -5.00  0.918
   3.227  0.675  5.36    0.69  -10.63    0.35    0.00  -10.28 2.741E-01

  10.589 30.292  9.31    0.66   -5.25    0.33    0.00   -4.92  0.915
   3.219  0.673  5.40    0.69  -10.53    0.35    0.00  -10.18 2.795E-01

  10.589 30.292  9.28    0.66   -5.17    0.33    0.00   -4.84  0.910
   3.211  0.671  5.44    0.70  -10.43    0.35    0.00  -10.08 2.850E-01

  10.589 30.292  9.26    0.67   -5.08    0.33    0.00   -4.76  0.904
   3.203  0.668  5.48    0.70  -10.33    0.35    0.00   -9.98 2.906E-01

  10.589 30.292  9.24    0.67   -4.99    0.33    0.00   -4.67  0.900
   3.195  0.666  5.52    0.70  -10.22    0.35    0.00   -9.87 2.962E-01

  10.589 30.292  9.22    0.68   -4.90    0.33    0.00   -4.58  0.895
   3.187  0.663  5.56    0.71  -10.11    0.34    0.00   -9.76 3.019E-01

  10.589 30.292  9.19    0.68   -4.82    0.33    0.00   -4.49  0.891
   3.179  0.661  5.59    0.71  -10.01    0.34    0.00   -9.66 3.076E-01

  10.589 30.292  9.17    0.69   -4.74    0.33    0.00   -4.42  0.888
   3.171  0.659  5.63    0.72   -9.91    0.34    0.00   -9.56 3.134E-01

  10.589 30.292  9.15    0.69   -4.65    0.33    0.00   -4.33  0.884
   3.163  0.656  5.67    0.73   -9.80    0.34    0.00   -9.46 3.193E-01

  10.589 30.292  9.12    0.70   -4.57    0.33    0.00   -4.24  0.880
   3.155  0.654  5.71    0.73   -9.70    0.35    0.00   -9.35 3.253E-01

  10.589 30.292  9.10    0.70   -4.48    0.33    0.00   -4.15  0.877
   3.147  0.652  5.75    0.74   -9.59    0.35    0.00   -9.25 3.313E-01

