EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin13_2nd                                                            
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00045; twall=0.00481; tbeam=0.00291; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL
   2.987  0.596  6.64    0.86   -7.27    0.35    0.00   -6.93 4.039E-01

  10.589 30.052  8.48    0.83   -2.63    0.33    0.00   -2.30  0.781
   2.979  0.594  6.68    0.87   -7.17    0.35    0.00   -6.82 4.104E-01

  10.589 30.052  8.46    0.84   -2.55    0.33    0.00   -2.21  0.781
   2.971  0.592  6.72    0.88   -7.07    0.35    0.00   -6.71 4.170E-01

  10.589 30.052  8.44    0.84   -2.46    0.34    0.00   -2.13  0.780
   2.963  0.589  6.76    0.88   -6.96    0.36    0.00   -6.61 4.237E-01

  10.589 30.052  8.41    0.85   -2.38    0.34    0.00   -2.04  0.780
   2.955  0.587  6.79    0.89   -6.86    0.36    0.00   -6.50 4.304E-01

  10.589 30.132  9.24    0.66   -5.27    0.30    0.00   -4.97  0.840
   3.227  0.668  5.46    0.69  -10.36    0.32    0.00  -10.04 2.287E-01

  10.589 30.132  9.21    0.66   -5.19    0.30    0.00   -4.89  0.836
   3.219  0.666  5.50    0.69  -10.26    0.32    0.00   -9.95 2.333E-01

  10.589 30.132  9.19    0.67   -5.10    0.30    0.00   -4.80  0.833
   3.211  0.664  5.54    0.70  -10.16    0.32    0.00   -9.84 2.378E-01

  10.589 30.132  9.17    0.67   -5.02    0.30    0.00   -4.73  0.829
   3.203  0.661  5.57    0.70  -10.06    0.32    0.00   -9.75 2.425E-01

  10.589 30.132  9.14    0.67   -4.94    0.30    0.00   -4.64  0.826
   3.195  0.659  5.61    0.70   -9.96    0.32    0.00   -9.65 2.472E-01

  10.589 30.132  9.12    0.68   -4.86    0.30    0.00   -4.57  0.823
   3.187  0.657  5.65    0.71   -9.87    0.32    0.00   -9.55 2.520E-01

  10.589 30.132  9.10    0.68   -4.78    0.30    0.00   -4.49  0.820
   3.179  0.654  5.69    0.71   -9.77    0.32    0.00   -9.46 2.568E-01

  10.589 30.132  9.07    0.69   -4.70    0.30    0.00   -4.40  0.817
   3.171  0.652  5.73    0.72   -9.67    0.32    0.00   -9.35 2.617E-01

  10.589 30.132  9.05    0.69   -4.62    0.30    0.00   -4.32  0.815
   3.163  0.650  5.76    0.72   -9.57    0.32    0.00   -9.25 2.667E-01

  10.589 30.132  9.03    0.70   -4.53    0.30    0.00   -4.24  0.813
   3.155  0.647  5.80    0.73   -9.47    0.32    0.00   -9.15 2.717E-01

  10.589 30.132  9.01    0.70   -4.45    0.30    0.00   -4.15  0.810
   3.147  0.645  5.84    0.73   -9.37    0.32    0.00   -9.05 2.767E-01

  10.589 30.132  8.98    0.71   -4.37    0.30    0.00   -4.07  0.808
   3.139  0.643  5.88    0.74   -9.27    0.32    0.00   -8.95 2.819E-01

  10.589 30.132  8.96    0.71   -4.29    0.30    0.00   -3.99  0.806
   3.131  0.640  5.92    0.74   -9.17    0.32    0.00   -8.86 2.871E-01

  10.589 30.132  8.94    0.72   -4.21    0.30    0.00   -3.91  0.804
   3.123  0.638  5.95    0.75   -9.08    0.32    0.00   -8.76 2.923E-01

  10.589 30.132  8.91    0.72   -4.13    0.30    0.00   -3.83  0.802
   3.115  0.636  5.99    0.75   -8.98    0.32    0.00   -8.66 2.976E-01

  10.589 30.132  8.89    0.73   -4.04    0.30    0.00   -3.73  0.800
   3.107  0.633  6.03    0.76   -8.87    0.32    0.00   -8.55 3.030E-01

  10.589 30.132  8.87    0.73   -3.96    0.30    0.00   -3.66  0.798
   3.099  0.631  6.07    0.77   -8.78    0.32    0.00   -8.45 3.085E-01

  10.589 30.132  8.85    0.74   -3.88    0.30    0.00   -3.58  0.796
   3.091  0.629  6.10    0.77   -8.68    0.32    0.00   -8.36 3.140E-01

  10.589 30.132  8.82    0.74   -3.80    0.31    0.00   -3.49  0.795
   3.083  0.626  6.14    0.78   -8.58    0.32    0.00   -8.26 3.195E-01

  10.589 30.132  8.80    0.75   -3.68    0.31    0.00   -3.37  0.793
   3.075  0.624  6.18    0.78   -8.44    0.33    0.00   -8.12 3.252E-01

  10.589 30.132  8.78    0.76   -3.63    0.31    0.00   -3.32  0.792
   3.067  0.622  6.22    0.79   -8.37    0.33    0.00   -8.05 3.309E-01

  10.589 30.132  8.75    0.76   -3.55    0.31    0.00   -3.24  0.791
   3.059  0.620  6.26    0.80   -8.28    0.33    0.00   -7.95 3.366E-01

  10.589 30.132  8.73    0.77   -3.47    0.31    0.00   -3.16  0.789
   3.051  0.617  6.29    0.80   -8.18    0.33    0.00   -7.85 3.424E-01

  10.589 30.132  8.71    0.77   -3.39    0.31    0.00   -3.07  0.788
   3.043  0.615  6.33    0.81   -8.08    0.33    0.00   -7.75 3.483E-01

  10.589 30.132  8.69    0.78   -3.31    0.32    0.00   -2.99  0.787
   3.035  0.613  6.37    0.81   -7.98    0.33    0.00   -7.65 3.543E-01

  10.589 30.132  8.66    0.79   -3.22    0.32    0.00   -2.91  0.786
   3.027  0.610  6.41    0.82   -7.88    0.34    0.00   -7.55 3.603E-01

  10.589 30.132  8.64    0.79   -3.13    0.32    0.00   -2.81  0.785
   3.019  0.608  6.45    0.83   -7.77    0.34    0.00   -7.44 3.663E-01

  10.589 30.132  8.62    0.80   -3.06    0.32    0.00   -2.73  0.784
   3.011  0.606  6.48    0.83   -7.68    0.34    0.00   -7.34 3.725E-01

  10.589 30.132  8.59    0.81   -2.97    0.32    0.00   -2.65  0.783
   3.003  0.604  6.52    0.84   -7.58    0.34    0.00   -7.23 3.787E-01

  10.589 30.132  8.57    0.81   -2.88    0.33    0.00   -2.55  0.783
   2.995  0.601  6.56    0.85   -7.46    0.34    0.00   -7.12 3.849E-01

  10.589 30.132  8.55    0.82   -2.79    0.33    0.00   -2.47  0.782
   2.987  0.599  6.60    0.86   -7.36    0.35    0.00   -7.02 3.913E-01

  10.589 30.132  8.53    0.83   -2.72    0.33    0.00   -2.39  0.779
   2.979  0.597  6.64    0.86   -7.28    0.35    0.00   -6.93 3.977E-01

  10.589 30.132  8.50    0.83   -2.64    0.33    0.00   -2.31  0.781
   2.971  0.595  6.67    0.87   -7.18    0.35    0.00   -6.82 4.041E-01

  10.589 30.132  8.48    0.84   -2.55    0.34    0.00   -2.22  0.780
   2.963  0.593  6.71    0.88   -7.07    0.35    0.00   -6.71 4.106E-01

  10.589 30.132  8.46    0.85   -2.47    0.34    0.00   -2.13  0.780
   2.955  0.590  6.75    0.89   -6.97    0.36    0.00   -6.61 4.172E-01

  10.589 30.212  9.28    0.66   -5.36    0.30    0.00   -5.06  0.845
   3.227  0.672  5.41    0.69  -10.46    0.32    0.00  -10.14 2.201E-01

  10.589 30.212  9.26    0.66   -5.29    0.30    0.00   -4.99  0.840
   3.219  0.670  5.45    0.69  -10.38    0.32    0.00  -10.06 2.245E-01

  10.589 30.212  9.24    0.66   -5.20    0.30    0.00   -4.90  0.837
   3.211  0.667  5.49    0.69  -10.27    0.32    0.00   -9.96 2.290E-01

  10.589 30.212  9.21    0.67   -5.11    0.30    0.00   -4.81  0.833
   3.203  0.665  5.53    0.70  -10.17    0.32    0.00   -9.85 2.335E-01

  10.589 30.212  9.19    0.67   -5.03    0.30    0.00   -4.73  0.830
