EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
D2_kin9_1st                                                             
                                                                        
Hall A 2018: 25 cm Deuterium target                                     
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  2);   avgA =   2.000; amuM=  2.013; avgM=  1.875
 targ=TRITIUM; ttarg(rl)=0.00114; twall=0.00445; tbeam=0.00298; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

 Deut Elastic Model: ia,iamec,rsc,rscmec (1,2,3,4)=  3
 TJON DEUT ELASTIC FILESS TO BE OPEN=rscctj.tjon_input   rscqtj.tjon_input   rscmtj.tjon_input   
  10.589 26.244  6.66    1.07    1.41    0.53    0.00    1.94  0.931
   3.051  0.471  8.37    1.13   -2.21    0.57    0.00   -1.64 1.070E+00

  10.589 26.244  6.64    1.08    1.49    0.54    0.00    2.03  0.932
   3.043  0.469  8.40    1.15   -2.11    0.58    0.00   -1.53 1.080E+00

  10.589 26.244  6.63    1.09    1.57    0.54    0.00    2.12  0.932
   3.035  0.467  8.43    1.16   -2.01    0.59    0.00   -1.42 1.090E+00

  10.589 26.244  6.61    1.10    1.65    0.55    0.00    2.21  0.931
   3.027  0.466  8.46    1.17   -1.91    0.59    0.00   -1.32 1.099E+00

  10.589 26.244  6.59    1.11    1.73    0.56    0.00    2.29  0.933
   3.019  0.464  8.50    1.18   -1.82    0.60    0.00   -1.21 1.109E+00

  10.589 26.244  6.57    1.12    1.82    0.57    0.00    2.39  0.933
   3.011  0.462  8.53    1.19   -1.71    0.61    0.00   -1.10 1.119E+00

  10.589 26.244  6.56    1.13    1.90    0.57    0.00    2.48  0.933
   3.003  0.461  8.56    1.21   -1.61    0.62    0.00   -0.99 1.129E+00

  10.589 26.244  6.54    1.14    1.99    0.58    0.00    2.57  0.933
   2.995  0.459  8.59    1.22   -1.51    0.62    0.00   -0.88 1.139E+00

  10.589 26.244  6.52    1.15    2.07    0.59    0.00    2.66  0.933
   2.987  0.457  8.63    1.23   -1.40    0.63    0.00   -0.77 1.149E+00

  10.589 26.244  6.50    1.17    2.15    0.60    0.00    2.75  0.935
