EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
Carbon kin1                                                             
                                                                        
Hall A 2018: carbon target                                              
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  6, 12);   avgA =  12.000; amuM= 12.002; avgM= 11.180
 targ=ordinar; ttarg(rl)=0.00207; twall=0.00001; tbeam=0.00057; tspec=0.00832
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.590 16.472  2.59    3.98   15.17    2.66    0.12   17.95  0.772
   2.981  0.181 12.57    4.21   15.08    2.77    0.12   17.97 9.525E+01

  10.590 16.572  2.62    3.92   15.01    2.61    0.11   17.74  0.773
   2.981  0.184 12.54    4.15   14.89    2.72    0.11   17.73 9.277E+01

  10.590 16.672  2.65    3.86   14.85    2.57    0.11   17.53  0.774
   2.981  0.186 12.51    4.08   14.71    2.67    0.11   17.49 9.035E+01

  10.590 16.772  2.69    3.81   14.70    2.53    0.10   17.33  0.776
   2.981  0.188 12.47    4.02   14.54    2.63    0.10   17.27 8.800E+01

  10.590 16.872  2.72    3.75   14.54    2.48    0.09   17.12  0.777
   2.981  0.190 12.44    3.96   14.36    2.58    0.09   17.04 8.571E+01

  10.590 16.972  2.75    3.70   14.39    2.44    0.09   16.91  0.778
   2.981  0.193 12.41    3.90   14.18    2.54    0.09   16.81 8.349E+01

  10.590 17.072  2.78    3.64   14.22    2.40    0.08   16.70  0.780
   2.981  0.195 12.38    3.84   14.00    2.49    0.08   16.57 8.133E+01

  10.590 17.172  2.81    3.59   14.07    2.36    0.07   16.50  0.781
   2.981  0.197 12.34    3.79   13.82    2.45    0.07   16.34 7.923E+01

  10.590 17.272  2.85    3.54   13.92    2.32    0.07   16.31  0.782
   2.981  0.199 12.31    3.73   13.65    2.41    0.07   16.13 7.719E+01

  10.590 17.372  2.88    3.48   13.76    2.28    0.06   16.10  0.784
   2.981  0.202 12.28    3.68   13.46    2.37    0.06   15.90 7.520E+01

  10.590 17.472  2.91    3.43   13.63    2.24    0.06   15.93  0.785
   2.981  0.204 12.25    3.62   13.31    2.33    0.06   15.70 7.327E+01

  10.590 17.572  2.95    3.38   13.45    2.20    0.06   15.71  0.786
   2.981  0.206 12.21    3.57   13.11    2.29    0.06   15.46 7.139E+01

  10.590 17.672  2.98    3.33   13.30    2.16    0.05   15.51  0.787
   2.981  0.209 12.18    3.51   12.94    2.25    0.05   15.24 6.956E+01

  10.590 17.772  3.01    3.29   13.17    2.13    0.05   15.34  0.788
   2.981  0.211 12.15    3.46   12.79    2.21    0.05   15.05 6.778E+01

  10.590 17.872  3.05    3.24   12.98    2.09    0.04   15.11  0.790
   2.981  0.213 12.11    3.41   12.57    2.17    0.04   14.79 6.605E+01

  10.590 17.972  3.08    3.19   12.82    2.05    0.04   14.91  0.791
   2.981  0.216 12.08    3.36   12.39    2.13    0.04   14.57 6.436E+01

  10.590 18.072  3.11    3.15   12.67    2.02    0.04   14.73  0.792
   2.981  0.218 12.04    3.31   12.23    2.10    0.04   14.36 6.272E+01

  10.590 18.172  3.15    3.10   12.51    1.98    0.03   14.53  0.793
   2.981  0.221 12.01    3.27   12.05    2.06    0.03   14.14 6.112E+01

  10.590 18.272  3.18    3.06   12.36    1.95    0.03   14.34  0.794
   2.981  0.223 11.98    3.22   11.87    2.02    0.03   13.92 5.956E+01

  10.590 18.372  3.22    3.02   12.21    1.92    0.03   14.16  0.795
   2.981  0.225 11.94    3.17   11.70    1.99    0.03   13.72 5.804E+01

  10.590 18.472  3.25    2.97   12.05    1.88    0.03   13.96  0.796
   2.981  0.228 11.91    3.13   11.52    1.95    0.03   13.50 5.657E+01

  10.590 18.572  3.29    2.93   11.90    1.85    0.02   13.78  0.797
   2.981  0.230 11.87    3.08   11.35    1.92    0.02   13.30 5.513E+01

  10.590 18.672  3.32    2.89   11.75    1.82    0.02   13.59  0.798
   2.981  0.233 11.84    3.04   11.17    1.89    0.02   13.08 5.373E+01

  10.590 18.772  3.36    2.85   11.61    1.79    0.02   13.42  0.799
   2.981  0.235 11.80    2.99   11.01    1.85    0.02   12.89 5.236E+01

  10.590 18.872  3.39    2.81   11.45    1.76    0.02   13.22  0.799
   2.981  0.238 11.77    2.95   10.83    1.82    0.02   12.67 5.103E+01

  10.590 18.972  3.43    2.77   11.29    1.72    0.02   13.03  0.800
   2.981  0.240 11.73    2.91   10.66    1.79    0.02   12.46 4.974E+01

  10.590 19.072  3.47    2.73   11.14    1.69    0.02   12.85  0.801
   2.981  0.243 11.69    2.87   10.48    1.76    0.02   12.25 4.847E+01

  10.590 19.172  3.50    2.70   10.99    1.66    0.01   12.66  0.801
   2.981  0.245 11.66    2.83   10.31    1.72    0.01   12.05 4.724E+01

  10.590 19.272  3.54    2.66   10.84    1.63    0.01   12.49  0.801
   2.981  0.248 11.62    2.79   10.14    1.69    0.01   11.85 4.604E+01

  10.590 19.372  3.57    2.62   10.69    1.60    0.01   12.30  0.802
   2.981  0.250 11.58    2.75    9.97    1.66    0.01   11.64 4.487E+01

  10.590 19.472  3.61    2.59   10.54    1.58    0.01   12.12  0.802
   2.981  0.253 11.55    2.71    9.80    1.63    0.01   11.44 4.373E+01

  10.590 19.572  3.65    2.55   10.39    1.55    0.01   11.94  0.802
   2.981  0.255 11.51    2.68    9.63    1.60    0.01   11.24 4.262E+01

  10.590 19.672  3.68    2.52   10.23    1.52    0.01   11.76  0.802
   2.981  0.258 11.47    2.64    9.45    1.57    0.01   11.04 4.154E+01

  10.590 19.772  3.72    2.48   10.08    1.49    0.01   11.58  0.803
