!iexp    x       qsq      rat     drat(frac)  norm(frac)
  2.  0.2240    5.711    0.8616    0.0248    0.0000
  2.  0.1960    5.136    0.8372    0.0248    0.0000
  2.  0.1710    4.594    0.9355    0.0417    0.0000
  2.  0.1530    4.176    0.8774    0.0436    0.0000
  2.  0.1340    3.718    0.8819    0.0526    0.0000
  2.  0.1180    3.341    1.0689    0.0684    0.0000
  2.  0.1050    3.005    0.9191    0.0516    0.0000
  2.  0.0860    2.506    0.8496    0.1161    0.0000
  2.  0.4640    2.009    0.8110    0.0258    0.0000
  2.  0.3880    1.826    0.8025    0.0258    0.0000
  2.  0.3240    1.644    0.8095    0.0248    0.0000
  2.  0.2680    1.461    0.8526    0.0268    0.0000
  2.  0.2190    1.278    0.8973    0.0238    0.0000
  2.  0.1770    1.096    0.8447    0.0258    0.0000
  2.  0.1390    0.913    0.8923    0.0308    0.0000
  2.  0.5860    4.080    0.7614    0.0317    0.0000
  2.  0.5030    3.740    0.7390    0.0327    0.0000
  2.  0.4140    3.319    0.7792    0.0238    0.0000
  2.  0.3660    3.060    0.8358    0.0347    0.0000
  2.  0.3180    2.779    0.8000    0.0238    0.0000
  2.  0.2840    2.570    0.8323    0.0298    0.0000
  2.  0.2560    2.380    0.8452    0.0298    0.0000
  2.  0.2330    2.218    0.8640    0.0327    0.0000
  2.  0.2090    2.040    0.9260    0.0357    0.0000
  2.  0.1880    1.878    0.8472    0.0367    0.0000
  2.  0.1560    1.618    0.8903    0.0704    0.0000
  2.  0.1270    1.360    1.0674    0.0764    0.0000
  2.  0.7110    6.623    0.7460    0.0456    0.0000
  2.  0.6320    6.183    0.7113    0.0317    0.0000
  2.  0.5600    5.742    0.7480    0.0308    0.0000
  2.  0.4940    5.299    0.7678    0.0298    0.0000
  2.  0.4340    4.857    0.7966    0.0298    0.0000
  2.  0.3660    4.308    0.7842    0.0208    0.0000
  2.  0.3320    4.011    0.7792    0.0317    0.0000
  2.  0.3060    3.777    0.7569    0.0347    0.0000
  2.  0.2810    3.535    0.7891    0.0377    0.0000
  2.  0.2590    3.319    0.8953    0.0446    0.0000
  2.  0.2370    3.095    0.8725    0.0456    0.0000
  2.  0.1960    2.650    0.9320    0.0506    0.0000
  2.  0.1580    2.211    0.8298    0.0942    0.0000
  2.  0.7810   10.849    0.7261    0.0625    0.0000
  2.  0.7140   10.246    0.6880    0.0496    0.0000
  2.  0.6510    9.646    0.7326    0.0417    0.0000
  2.  0.5910    9.043    0.7346    0.0427    0.0000
  2.  0.5350    8.440    0.7167    0.0298    0.0000
  2.  0.4830    7.837    0.7559    0.0317    0.0000
  2.  0.4330    7.234    0.8060    0.0317    0.0000
  2.  0.3860    6.631    0.7797    0.0337    0.0000
  2.  0.3420    6.029    0.8397    0.0337    0.0000
  2.  0.2870    5.236    0.8298    0.0308    0.0000
  2.  0.2600    4.823    0.8774    0.0417    0.0000
  2.  0.2100    4.027    0.8229    0.0952    0.0000
  2.  0.8720   15.981    0.9280    0.1676    0.0000
  2.  0.8090   15.220    0.8268    0.1587    0.0000
  2.  0.7500   14.459    0.6656    0.0694    0.0000
  2.  0.6940   13.698    0.6860    0.0496    0.0000
  2.  0.6400   12.937    0.6949    0.0427    0.0000
  2.  0.5890   12.176    0.7693    0.0407    0.0000
  2.  0.5400   11.415    0.7430    0.0417    0.0000
  2.  0.4930   10.654    0.7504    0.0397    0.0000
  2.  0.4480    9.893    0.8020    0.0397    0.0000
  2.  0.4050    9.132    0.7946    0.0387    0.0000
  2.  0.3640    8.371    0.8085    0.0397    0.0000
  2.  0.3160    7.444    0.8214    0.0298    0.0000
  2.  0.2860    6.849    0.8382    0.0506    0.0000
  2.  0.2490    6.088    0.9662    0.0655    0.0000
  2.  0.2140    5.327    0.8710    0.0436    0.0000
  2.  0.8540   20.078    0.8715    0.1369    0.0000
  2.  0.7990   19.165    0.7098    0.1141    0.0000
  2.  0.7460   18.251    0.7137    0.0774    0.0000
  2.  0.6680   16.816    0.7048    0.0436    0.0000
  2.  0.5990   15.504    0.6790    0.0486    0.0000
  2.  0.5540   14.591    0.7128    0.0466    0.0000
  2.  0.5100   13.681    0.7539    0.0506    0.0000
  2.  0.4680   12.761    0.7643    0.0387    0.0000
  2.  0.4280   11.862    0.7366    0.0387    0.0000
  2.  0.3890   10.960    0.7376    0.0436    0.0000
  2.  0.3490   10.021    0.7614    0.0466    0.0000
  2.  0.3130    9.133    0.8263    0.0526    0.0000
  2.  0.2780    8.220    0.8571    0.0625    0.0000
  2.  0.2430    7.306    0.9389    0.0942    0.0000
  2.  0.5470    2.772    0.7872    0.0337    0.0000
  2.  0.4530    2.464    0.7544    0.0317    0.0000
  2.  0.3700    2.156    0.8422    0.0397    0.0000
  2.  0.2980    1.848    0.8462    0.0357    0.0000
  2.  0.2340    1.540    0.8893    0.0367    0.0000
  2.  0.6700    4.471    0.6949    0.0357    0.0000
  2.  0.5560    3.974    0.7653    0.0337    0.0000
  2.  0.4570    3.477    0.7936    0.0317    0.0000
  2.  0.3690    2.980    0.7906    0.0337    0.0000
  2.  0.2900    2.484    0.8382    0.0317    0.0000
  2.  0.2200    1.987    0.8214    0.0982    0.0000
  2.  0.7680    7.443    0.7103    0.0665    0.0000
  2.  0.6660    6.767    0.7787    0.0456    0.0000
  2.  0.5730    6.090    0.7167    0.0367    0.0000
  2.  0.4880    5.413    0.7331    0.0377    0.0000
  2.  0.4100    4.739    0.7713    0.0377    0.0000
  2.  0.3320    4.006    0.8427    0.0417    0.0000
  2.  0.7810   10.277    0.7643    0.1478    0.0000
  2.  0.6910    9.421    0.7420    0.1022    0.0000
  2.  0.6070    8.565    0.6914    0.0774    0.0000
  2.  0.5290    7.708    0.7306    0.0585    0.0000
  2.  0.4560    6.852    0.7123    0.0516    0.0000
  2.  0.3870    5.995    0.7559    0.0496    0.0000
  2.  0.3220    5.139    0.7911    0.0446    0.0000
  2.  0.8000   13.918    1.0848    0.2272    0.0000
  2.  0.7190   12.847    0.7480    0.1141    0.0000
  2.  0.6420   11.777    0.7207    0.0754    0.0000
  2.  0.5690   10.706    0.7103    0.0684    0.0000
  2.  0.5000    9.635    0.6949    0.0536    0.0000
  2.  0.4340    8.565    0.8551    0.0526    0.0000
  2.  0.3710    7.494    0.7113    0.0536    0.0000
  2.  0.7560   16.691    0.6889    0.1389    0.0000
  2.  0.6830   15.407    0.7192    0.0883    0.0000
  2.  0.6140   14.123    0.7911    0.0694    0.0000
  2.  0.5470   12.839    0.6884    0.0744    0.0000
  2.  0.4820   11.555    0.8273    0.0813    0.0000
  2.  0.4210   10.271    0.8085    0.0913    0.0000
  3.  0.4290    1.739    0.7996    0.0089    0.0060
  3.  0.3770    1.714    0.8189    0.0079    0.0060
  3.  0.3270    1.682    0.8278    0.0079    0.0060
  3.  0.2770    1.642    0.8323    0.0079    0.0060
  3.  0.2370    1.599    0.8571    0.0089    0.0060
  3.  0.1760    1.504    0.8819    0.0079    0.0060
  3.  0.1240    1.376    0.9102    0.0099    0.0060
  3.  0.1020    1.292    0.9112    0.0109    0.0060
  3.  0.0840    1.203    0.9369    0.0159    0.0060
  3.  0.0680    1.107    0.9231    0.0139    0.0060
  3.  0.3740    1.404    0.8377    0.0099    0.0060
  3.  0.3220    1.380    0.8308    0.0089    0.0060
  3.  0.2720    1.348    0.8427    0.0089    0.0060
  3.  0.2210    1.303    0.8516    0.0089    0.0060
  3.  0.1770    1.248    0.8913    0.0099    0.0060
  3.  0.1240    1.147    0.9245    0.0139    0.0060
