 x    Q2    WSQ   XS_data   XS_stat_err  XS_sys_err    XS_f1f217    XS_ineft
   0.21400   5.32700  20.46000       779.20000         0.02800         0.00900          0.74934          0.76646
   0.51000  13.68100  14.00000        98.37000         0.02900         0.00800          0.53161          0.09666
   0.46800  12.76100  15.40000       132.00000         0.02600         0.00700          0.14273          0.12736
   0.42800  11.86200  16.76000       167.20000         0.02500         0.00700          0.14542          0.16230
   0.38900  10.96000  18.12000       205.30000         0.02400         0.00700          0.19386          0.20259
   0.34900  10.02100  19.54000       241.30000         0.02700         0.00700          0.23591          0.25070
   0.31300   9.13300  20.89000       294.50000         0.03100         0.00700          0.28168          0.30272
   0.27800   8.22000  22.27000       368.60000         0.03300         0.00700          0.33355          0.36382
   0.24300   7.30600  23.65000       427.20000         0.05700         0.00800          0.39750          0.43490
   0.54700   2.77200   3.18000      2235.00000         0.02000         0.00900          2.19154          2.17355
   0.45300   2.46400   3.86000      3050.00000         0.02000         0.00900          3.12314          3.13810
   0.37000   2.15600   4.55000      4082.00000         0.02800         0.01000          4.07063          4.13976
   0.29800   1.84800   5.23000      5036.00000         0.02200         0.01100          5.11403          5.15642
   0.23400   1.54000   5.91000      6233.00000         0.02400         0.01100          6.27002          6.22691
   0.67000   4.47100   3.09000       466.40000         0.02100         0.01000          0.47850          0.45585
   0.55600   3.97400   4.05000       883.70000         0.02000         0.00900          0.89325          0.87038
   0.45700   3.47700   5.02000      1428.00000         0.01900         0.00900          1.42527          1.39271
   0.36900   2.98000   5.98000      1971.00000         0.02100         0.01000          2.06401          1.99179
   0.29000   2.48400   6.95000      2634.00000         0.02000         0.01100          2.77582          2.66668
   0.22000   1.98700   7.92000      3270.00000         0.06800         0.01100          3.57622          3.45319
   0.76800   7.44300   3.12000        69.83000         0.03800         0.01300          0.06882          0.06603
   0.66600   6.76700   4.27000       172.50000         0.02600         0.01000          0.16026          0.15276
   0.57300   6.09000   5.42000       298.80000         0.02200         0.00900          0.30315          0.28988
   0.48800   5.41300   6.56000       475.80000         0.02300         0.00900          0.49782          0.47493
   0.41000   4.73900   7.70000       716.00000         0.02700         0.00900          0.73597          0.70585
   0.33200   4.00600   8.94000      1077.00000         0.03100         0.01000          1.04695          1.01051
   0.78100  10.27700   3.77000        26.92000         0.07900         0.01300          0.02655          0.02426
   0.69100   9.42100   5.09000        56.25000         0.05500         0.01000          0.05954          0.05652
   0.60700   8.56500   6.42000       103.60000         0.03600         0.00900          0.11395          0.11081
   0.52900   7.70800   7.74000       204.30000         0.03200         0.00800          0.19241          0.18924
   0.45600   6.85200   9.07000       294.40000         0.02900         0.00800          0.29649          0.29368
   0.38700   5.99500  10.39000       431.70000         0.03000         0.00900          0.42878          0.42517
