 exp   x    Q2    WSQ   F2Dp_data   F2Dp_err  F2Dp_norm  F2Dp_f1f217   F2Dp_ineft   F2d_f1f217   F2p_f1f217      F2d_ineft   F2p_ineft
1.0   0.14200   2.18900  14.10685      0.91960      0.03170      0.00500          1.76676          0.91035          0.61973          0.35077          0.31260          0.34339
1.0   0.10800   1.83400  16.02784      0.90120      0.03080      0.00500          1.76124          0.93090          0.61729          0.35049          0.31412          0.33744
1.0   0.08400   1.54200  17.69550      0.92360      0.03370      0.00500          1.73807          0.94576          0.60045          0.34547          0.30944          0.32719
1.0   0.69500   5.18500   3.15579      0.62400      0.05260      0.00500          1.44867          0.72413          0.08196          0.05658          0.04216          0.05822
1.0   0.60000   4.97900   4.19969      0.70430      0.03770      0.00500          1.47791          0.74332          0.14522          0.09826          0.07483          0.10067
1.0   0.53200   4.80100   5.10379      0.73850      0.02780      0.00500          1.50260          0.75284          0.20633          0.13732          0.10593          0.14071
1.0   0.45400   4.55300   6.35599      0.76240      0.02980      0.00500          1.54491          0.77257          0.29571          0.19141          0.14868          0.19244
1.0   0.38700   4.29400   7.68196      0.81340      0.03080      0.00500          1.59188          0.79431          0.38041          0.23897          0.18965          0.23876
1.0   0.32800   4.01400   9.10416      0.82480      0.02680      0.00500          1.61796          0.81687          0.44527          0.27520          0.22684          0.27770
1.0   0.27400   3.69900  10.68135      0.83630      0.03170      0.00500          1.67072          0.84047          0.51248          0.30674          0.25953          0.30879
1.0   0.22700   3.37300  12.36639      0.87840      0.03170      0.00500          1.68295          0.86344          0.55328          0.32876          0.28483          0.32989
1.0   0.18500   3.01300  14.15384      0.84320      0.03270      0.00500          1.73269          0.88592          0.59546          0.34366          0.30313          0.34216
1.0   0.14700   2.63100  16.14731      0.90170      0.03370      0.00500          1.78621          0.90773          0.62954          0.35244          0.31444          0.34640
1.0   0.12000   2.30500  17.78369      0.90820      0.03370      0.00500          1.76650          0.92388          0.62734          0.35513          0.31814          0.34435
1.0   0.09600   1.96800  19.41235      0.92060      0.03570      0.00500          1.74867          0.93851          0.61880          0.35387          0.31710          0.33787
1.0   0.74600   6.88000   3.22288      0.65770      0.07540      0.00500          1.41811          0.73050          0.04670          0.03293          0.02457          0.03363
1.0   0.69200   6.73400   3.87757      0.65570      0.04660      0.00500          1.39744          0.72394          0.07113          0.05090          0.03711          0.05127
1.0   0.66200   6.64700   4.27414      0.67210      0.27380      0.00500          1.41074          0.72690          0.08742          0.06197          0.04581          0.06302
1.0   0.59900   6.44100   5.19228      0.71820      0.03870      0.00500          1.42776          0.73251          0.13097          0.09173          0.06846          0.09346
1.0   0.52800   6.17400   6.39954      0.75740      0.03570      0.00500          1.46931          0.74802          0.19737          0.13433          0.10120          0.13529
1.0   0.46500   5.89400   7.66162      0.75040      0.03170      0.00500          1.52239          0.76611          0.27034          0.17758          0.13613          0.17769
1.0   0.40400   5.56900   9.09601      0.80000      0.03170      0.00500          1.58181          0.78660          0.34675          0.21921          0.17405          0.22127
1.0   0.34700   5.21500  10.69417      0.83630      0.03080      0.00500          1.60139          0.80835          0.41188          0.25720          0.21139          0.26151
